"Date","Day_of_month","Nweek","Month","Num_offices","Num_employees","shift1_trans","shift2_trans","shift1_em","shift2_em","shift_all_em","Max_check","Min_check","Mean_check","Trans_amount","Trans_sum","Trans_mean","Class1","Class2","Class3","Class1.1","Class2.1","Class3.1"
"2012-12-16",16,50,12,1,2,0,3,0,2,0,3,1,2.33333333333333,3,700,233.333333333333,0.333333333333333,0.666666666666667,0,"1","2","0"
"2012-12-17",17,51,12,1,2,1,2,0,1,1,5,1,2.33333333333333,3,800,266.666666666667,0.666666666666667,0,0.333333333333333,"2","0","1"
"2012-12-18",18,51,12,1,2,0,4,0,2,0,3,1,1.5,4,600,150,0.75,0.25,0,"3","1","0"
"2012-12-19",19,51,12,1,3,3,4,1,1,1,2,1,1.14285714285714,7,802,114.571428571429,0.857142857142857,0.142857142857143,0,"6","1","0"
"2012-12-20",20,51,12,1,4,2,5,1,2,1,2,1,1.14285714285714,7,800,114.285714285714,0.857142857142857,0.142857142857143,0,"6","1","0"
"2012-12-21",21,51,12,1,3,4,5,1,2,0,3,1,1.44444444444444,9,1649,183.222222222222,0.777777777777778,0.222222222222222,0,"7","2","0"
"2012-12-22",22,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2012-12-23",23,51,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2012-12-24",24,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2012-12-25",25,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2012-12-26",26,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2012-12-27",27,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2012-12-28",28,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2012-12-29",29,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2012-12-30",30,52,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2012-12-31",31,53,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2013-01-01",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2013-01-02",2,0,1,1,1,1,0,1,0,0,1,1,1,1,100,100,1,0,0,"1","0","0"
"2013-01-03",3,0,1,1,2,3,2,1,0,1,2,1,1.2,5,600,120,0.8,0.2,0,"4","1","0"
"2013-01-04",4,0,1,1,3,2,3,1,1,1,5,1,2.2,5,1200,240,0.6,0.2,0.2,"3","1","1"
"2013-01-05",5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2013-01-06",6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2013-01-07",7,1,1,1,1,0,1,0,1,0,1,1,1,1,100,100,1,0,0,"1","0","0"
"2013-01-08",8,1,1,1,4,3,3,2,1,1,1,1,1,6,600,100,1,0,0,"6","0","0"
"2013-01-09",9,1,1,1,2,1,1,1,1,0,2,1,1.5,2,300,150,0.5,0.5,0,"1","1","0"
"2013-01-10",10,1,1,1,1,3,3,0,0,1,1,1,1,6,600,100,1,0,0,"6","0","0"
"2013-01-11",11,1,1,1,3,2,2,2,1,0,3,1,1.5,4,600,150,0.75,0.25,0,"3","1","0"
"2013-01-12",12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2013-01-13",13,1,1,1,1,0,1,0,1,0,1,1,1,1,100,100,1,0,0,"1","0","0"
"2013-01-14",14,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2013-01-15",15,2,1,1,1,1,2,0,0,1,3,1,1.66666666666667,3,500,166.666666666667,0.666666666666667,0.333333333333333,0,"2","1","0"
"2013-01-16",16,2,1,1,3,3,3,2,0,1,1,1,1,6,600,100,1,0,0,"6","0","0"
"2013-01-17",17,2,1,1,1,4,3,0,0,1,1,1,1,7,700,100,1,0,0,"7","0","0"
"2013-01-18",18,2,1,1,2,0,4,0,2,0,4,1,2,4,900,225,0.666666666666667,0.333333333333333,0,"2","1","0"
"2013-01-19",19,2,1,1,1,0,1,0,1,0,1,1,1,1,100,100,1,0,0,"1","0","0"
"2013-01-20",20,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0"
"2013-01-21",21,3,1,1,3,3,1,2,1,0,1,1,1,4,400,100,1,0,0,"4","0","0"
"2013-01-22",22,3,1,1,1,1,2,0,0,1,1,1,1,3,300,100,1,0,0,"3","0","0"
